"","id_sujet","id_subject","back_1_level","back_2_level","oxford","typing_speed","age","sexe","groupe","Pre_motiv","Mem_diffic","Transc_diffic","Quest_diffic","Fatigue","Recommencer"
"1",1,1,1,6,0,55,43,"F","",100,29,66,65,82,23
"2",2,2,2,2,0,50,27,"F","",100,55,25,0,58,84
"3",3,3,2,4,0,55,31,"F","",100,53,68,57,67,33
"4",4,4,0,0,0,41,30,"F","",100,49,100,50,79,17
"5",5,5,4,4,0,44,45,"F","",92,27,74,73,81,1
"6",6,6,0,0,0,35,45,"G","",0,50,100,15,88,0
"7",7,7,2,4,21,53,20,"F","",100,65,91,58,61,80
"8",8,8,0,0,0,44,21,"F","",100,73,87,100,64,50
"9",9,9,1,4,19,61,22,"F","",69,19,93,68,97,0
"10",10,10,0,0,23,44,21,"F","",91,65,54,19,82,40
"11",11,11,2,2,23,71,22,"F","",94,22,74,65,75,27
"12",12,12,0,0,22,55,20,"F","",91,74,56,56,67,52
"13",17,17,2,20,23,28,29,"F","Controle N-Back",67,50,50,78,50,20
"14",18,18,0,0,21,38,0,"F","",100,97,93,85,98,1
"15",19,19,1,10,23,51,0,"F","Principal N-Back",36,38,84,71,27,51
"16",20,20,0,0,23,49,0,"F","",100,30,58,52,71,50
"17",21,21,1,4,23,63,0,"F","Principal N-Back",72,26,100,17,50,29
"18",22,22,0,0,23,63,0,"F","Principal RSPAN",0,69,21,83,100,100
"19",23,23,1,2,18,36,0,"F","Principal N-Back",100,11,89,78,86,0
"20",24,24,0,0,22,44,0,"F","Principal RSPAN",100,50,90,50,100,0
"21",25,25,1,2,24,49,0,"F","Principal N-Back",98,34,12,38,61,55
"22",26,26,0,0,21,47,19,"F","Principal RSPAN",99,65,62,24,4,23
"23",28,28,0,0,24,52,0,"F","Principal RSPAN",59,52.5,90,54.5,63.5,40.5
"24",29,29,0,0,23,61,0,"F","Controle RSPAN",100,31,51,4,70,0
"25",31,31,4,6,0,23,0,"F","Principal N-Back",39,70,64,78,15,16
"26",32,32,0,0,21,48,39,"F","Controle RSPAN",100,80,65,35,80,37
"27",34,34,0,0,0,27,0,"F","Principal N-Back",100,82,0,80,0,68
"28",35,35,2,6,0,0,0,"F","Controle N-Back",100,89,50,15,19,50
"29",36,36,0,0,0,0,0,"H","Controle RSPAN",71,25,50,4,90,49
"30",37,37,4,6,23,0,23,"F","Controle N-Back",77,100,0,16,76,0
"31",38,38,0,0,23,0,23,"F","Principal N-Back",50,73,50,19,100,0
"32",39,39,6,2,22,0,38,"H","Controle N-Back",93,18,34,26,7,50
"33",40,40,0,0,22,0,28,"F","Controle RSPAN",39,81,50,26,59,42
"34",41,41,1,2,0,0,0,"F","Controle N-Back",100,76,24,67,74,93
"35",42,42,0,0,22,0,21,"F","Controle RSPAN",100,34,10,57,64,69
"36",45,45,1,4,23,0,0,"F","Controle N-Back",81,65,15,0,14,50
"37",46,46,0,0,0,0,0,"H","Controle RSPAN",95,93,6,10,9,90
"38",47,47,2,4,24,0,0,"F","Controle N-Back",100,18,0,12,28,78
"39",49,49,1,2,0,0,0,"F","Controle N-Back",100,63,52,8,67,98
"40",50,50,0,0,0,0,0,"F","Controle RSPAN",100,92,50,17,65,92
"41",51,51,2,4,0,0,0,"F","Controle N-Back",90,31,78,60,60,85
